date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2021-01-23,US_NC,2,2,1,4,1,2,2,1,2,NA,2,1,NA,NA,4,2,0.12802638616509182
2021-01-23,US_ND,1,1,1,0,0,1,1,1,1,NA,2,2,NA,NA,3,3,0.03734439834024896
2021-01-23,US_NE,1,1,1,0,1,1,1,1,2,NA,3,2,NA,NA,2,3,0.09534298300818124
2021-01-23,US_NH,2,1,1,0,0,1,2,1,1,NA,3,1,NA,NA,3,2,0.06223240067708852
2021-01-23,US_NJ,2,1,1,4,0,1,1,1,2,NA,3,2,NA,NA,3,3,0.1544595967236498
2021-01-23,US_NM,2,2,2,4,2,1,2,1,1,NA,3,2,NA,NA,3,3,0.04778810932657086
2021-01-23,US_NV,2,1,1,4,0,1,1,1,1,NA,3,1,NA,NA,3,2,0.10291395269112101
2021-01-23,US_NY,2,2,2,4,1,1,2,2,2,NA,3,2,NA,NA,3,2,0.052597040891852916
2021-01-23,US_OH,2,1,1,4,0,2,1,1,1,NA,3,2,NA,NA,3,2,0.10476343739942066
2021-01-23,US_OK,2,1,1,0,1,1,1,1,1,NA,3,1,NA,NA,3,2,0.20268161872257434
2021-01-23,US_OR,2,2,2,4,0,1,1,1,2,0,2,1,0,0,3,3,0.04232649071358749
2021-01-23,US_PA,2,1,1,2,0,1,2,1,1,0,3,2,0,0,3,3,0.09306628056628057
2021-01-23,US_RI,1,2,1,4,0,1,2,1,2,NA,3,2,NA,NA,3,2,0.03600545984432066
2021-01-23,US_SC,2,1,1,2,0,1,1,1,1,0,3,2,0,0,3,2,0.10555899694863147
2021-01-23,US_SD,1,1,1,0,0,1,1,1,1,0,2,1,NA,NA,2,2,0.12952281069743052
2021-01-23,US_TN,2,2,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.1323283082077052
2021-01-23,US_TX,2,2,2,4,0,1,1,1,1,NA,1,1,NA,NA,3,3,0.2090198351212935
2021-01-23,US_UT,2,1,1,0,0,1,1,1,1,0,2,1,0,0,2,2,0.21045751633986928
2021-01-23,US_VA,2,1,2,4,0,2,1,1,2,0,3,2,0,0,3,3,0.16631621786610595
2021-01-23,US_VT,2,2,2,4,0,1,2,2,2,NA,3,2,NA,NA,3,2,0.02074053452115813
2021-01-23,US_WA,2,2,2,4,1,1,1,1,2,0,2,1,0,0,3,2,0.09015470580876528
2021-01-23,US_WI,2,1,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.06780803451064978
2021-01-23,US_WV,2,1,2,3,0,1,1,1,1,0,3,2,0,0,3,3,0.10533629794330183
2021-01-24,US_AK,2,1,2,4,0,1,2,1,1,0,3,1,0,0,3,2,0.024930747922437674
2021-01-24,US_AL,2,1,1,0,1,1,1,1,1,0,3,1,0,0,3,2,0.21420602454444032
2021-01-24,US_AR,2,2,1,4,1,1,1,1,1,NA,3,2,NA,NA,3,3,0.1207849328972595
2021-01-24,US_AZ,2,2,2,3,0,1,1,1,1,0,3,2,0,0,3,2,0.11875143976042386
2021-01-24,US_CA,3,2,2,4,0,2,2,2,2,0,3,1,0,0,3,2,0.0855745953687626
2021-01-24,US_CO,2,1,2,4,1,2,1,1,2,NA,2,1,NA,NA,3,2,0.05123125922473394
2021-01-24,US_DC,1,1,2,4,0,1,2,1,2,NA,3,2,NA,NA,3,3,0.034937489296112345
2021-01-24,US_DE,2,2,1,4,0,1,1,1,2,NA,3,2,NA,NA,4,1,0.3596953719976567
2021-01-24,US_FL,2,1,1,4,0,2,1,1,1,0,2,1,0,0,3,2,0.08521403824698076
2021-01-24,US_GA,2,1,1,3,0,2,1,1,2,0,3,1,NA,NA,2,2,0.1382087816225647
2021-01-24,US_HI,2,2,2,4,1,2,2,1,2,0,3,2,0,0,3,2,0.02579873569109858
2021-01-24,US_IA,3,1,1,0,0,1,1,2,1,NA,2,1,NA,NA,3,2,0.2738828967642527
